Nstars,alpha_true,Mmin,Mmax,alpha_fit,alpha_err
2.000000000000000000e+04,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.000560952562595141e+00,7.247919376324578507e-03
2.000000000000000000e+04,2.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.998489563655640566e+00,8.439893243058856423e-03
2.000000000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.011820775751366419e+00,7.949903900135888921e-03
2.000000000000000000e+04,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.193289127923222281e+00,9.012411672967771473e-03
2.000000000000000000e+04,2.200000000000000178e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.212351799373003303e+00,8.898255895310762040e-03
2.000000000000000000e+04,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.204709697898185716e+00,8.662430712154722823e-03
2.000000000000000000e+04,2.200000000000000178e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.202318319905640642e+00,9.244999173500922235e-03
2.000000000000000000e+04,2.200000000000000178e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.223357946628884196e+00,9.288802916007430147e-03
2.000000000000000000e+04,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.401928448125583593e+00,1.021302478156407498e-02
2.000000000000000000e+04,2.399999999999999911e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.400760235137022303e+00,9.937745259777837695e-03
2.000000000000000000e+04,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.382981697407890564e+00,9.861968832547311076e-03
2.000000000000000000e+04,2.399999999999999911e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.408212063655319479e+00,1.050092531025316640e-02
2.000000000000000000e+04,2.399999999999999911e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.407214206383487820e+00,1.028463516572115065e-02
2.000000000000000000e+04,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.602958939524518289e+00,1.144501668149532081e-02
2.000000000000000000e+04,2.600000000000000089e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.591291534330674384e+00,1.127742457037352215e-02
2.000000000000000000e+04,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.586741028257003805e+00,1.119187832990530679e-02
2.000000000000000000e+04,2.600000000000000089e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.606784042528591527e+00,1.182461209894108620e-02
2.000000000000000000e+04,2.600000000000000089e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.593860391891888550e+00,1.152275434135915065e-02
